Device,Plant,Truss,Total_flowers,Budding,Transition_B_to_O,Open,Closed,Setting,Broken_Sets,Out_of_Sequence,Test_Year,Test_Month,Test_Day
1,8,101,16.0,9.0,4.0,0.0,3.0,0.0,0.0,0,324576,322,3864
1,8,102,15.0,12.0,3.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,8,201,15.0,8.0,3.0,0.0,4.0,0.0,0.0,0,324576,322,3864
1,9,101,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,9,201,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,10,101,6.0,1.0,2.0,3.0,0.0,0.0,0.0,0,324576,322,3864
1,10,102,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,10,201,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,11,101,8.0,5.0,2.0,1.0,0.0,0.0,0.0,0,324576,322,3864
1,11,201,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,12,101,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0,324576,322,3864
1,12,201,8.0,4.0,2.0,2.0,0.0,0.0,0.0,0,324576,322,3864
1,13,101,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0,324576,322,3864
